City,cyanSlopeForAnalysis,cyanPvalSlopeAnalysis,cyanSlopeLin,cyanSlopeQuad,AcSlopeLin,AcSlopeQuad,LiSlopeLin,LiSlopeQuad,freqHCN,AcHWE,LiHWE,Latitude,Longitude,annualAI,monthlyPET,annualPET,monthlyPrecip,mwtBio,mstBio,smd,snow_depth,snowfall,mwtWea,daysNegNoSnow
Atlanta,0.3620241037525323,1.4151626048622544e-5,0.362,NA,0.2625,NA,0.7538,-0.6173,0.4214733414733414,0.4641523968624107,0.4191817045782675,33.748997,-84.387985,1.0075755555555557,157.36,1296.0444444444445,103.52,-0.4311111111111111,32.315555555555555,-53.84,0.07555831265508685,0.07766749379652606,-22.2,19.107142857142858
Baltimore,0.03124515111556884,0.7185892070344169,0.0312,NA,0.065,NA,0.0307,NA,0.21550671550671552,0.4819403341205945,0.1968413500293272,39.290386,-76.61219,0.9946794871794872,149.6051282051282,1107.5384615384614,101.6974358974359,-6.325641025641025,29.74871794871795,-47.90769230769231,1.946319737458978,0.6135021097046414,-21.7,34.111111111111114
Boston,0.11919806502303501,0.04946135062102785,0.1192,NA,NA,NA,NA,NA,0.1966374269005848,NaN,NaN,42.3547,-71.0665,1.2061431818181818,134.96818181818182,963.7727272727273,91.82727272727273,-8.688636363636364,27.28181818181818,-43.14090909090909,4.469648093841642,0.9968475073313783,-21.7,28.652173913043477
Charlotte,0.06995840731270526,0.4571636817406053,-0.8227,0.9818,-0.0767,NA,-0.5331,0.5896,0.4976648351648352,0.5812732782397652,0.39878713151898976,35.227085,-80.843124,0.90574,158.23,1278.625,100.33,-2.0675,32.3475,-57.9,0.2812470698546648,0.15157055789967183,-20.6,25.666666666666668
Cincinnati,0.03529704340156587,0.6214673579086005,0.0353,NA,NA,NA,NA,NA,0.2066620879120879,NaN,NaN,39.103119,-84.512016,0.9714075000000001,148.715,1093.9,99.385,-8.1175,29.11,-49.33,1.9448195030473512,0.5854664791373652,-31.1,30.805555555555557
Cleveland,0.09262478708498946,0.09464076496302098,0.0926,NA,0.0672,NA,0.0192,NA,0.26890109890109887,0.4417820930044518,0.21472078852488505,41.499321,-81.694359,1.04769,134.735,951.95,95.69,-9.5025,25.925,-39.045,5.962664165103189,1.4551594746716698,-28.9,18.38888888888889
Detroit,0.05227820097533576,0.5216000441630755,0.0523,NA,NA,NA,NA,NA,0.3200982350982351,NaN,NaN,42.331429,-83.045753,0.87205,135.66,942.675,83.62,-10.4425,26.8475,-52.04,6.440009425070688,1.0920829406220547,-29.4,21.22222222222222
Jacksonville,0.272014217451971,0.0017775684447140154,1.2999,-1.0488,0.2017,NA,1.422,-1.1527,0.8720216291644862,0.9131735920993732,0.803640378793769,30.32597,-81.656761,0.9116857142857143,156.82285714285715,1398.7714285714285,143.27428571428572,6.46,33.55142857142857,-13.54857142857143,0,0,-13.9,9.115384615384615
Montreal,-0.05694477715081345,0.5698183463343809,-0.0569,NA,NA,NA,NA,NA,0.44671658136938985,NaN,NaN,45.502,-73.5672,1.1492489795918368,126.46122448979592,832.5510204081633,91.23333333333333,-16.2,24.90625,-35.204166666666666,11.593172119487908,1.4821716453295402,-35.2,3.8055555555555554
NewYork,0.14540331534114354,0.011814353921080226,0.1454,NA,0.2044,NA,0.0328,NA,0.1914973299261225,0.389221175680216,0.45264465326594233,40.7921,-73.958,1.2183916666666668,134.72083333333333,974.0208333333334,105.12916666666666,-7.74375,28.258333333333333,-29.591666666666665,2.9355836849507737,0.7573370839193624,-19.4,23.11111111111111
Norfolk,0.3373007651747956,8.587889400574365e-4,0.3373,NA,0.358,NA,0.0377,NA,0.3946356421356421,0.48056608870914835,0.3916959906117556,36.850769,-76.285873,1.0452358974358975,139.26666666666665,1116.128205128205,115.25128205128205,-0.7256410256410256,31.71794871794872,-24.015384615384612,0.6073214285714286,0.298125,-19.4,23.263157894736842
Philadelphia,-0.030985083935302266,0.6227703676810397,-0.031,NA,NA,NA,NA,NA,0.19862637362637361,NaN,NaN,39.952583,-75.165222,1.0905475,141.47,1037.05,105.59,-6.56,29.0675,-35.879999999999995,2.038929088277858,0.6294741919922817,-21.7,31.542857142857144
Pittsburgh,0.06895700068199195,0.32813572075155917,0.069,NA,NA,NA,NA,NA,0.22113095238095237,NaN,NaN,40.440624,-79.995888,0.9291825,146.28,1051.675,95.48,-9.45,27.235,-50.8,3.928893058161351,0.9734990619136961,-30,23.61111111111111
Tampa,-0.029436024918853176,0.1384654454824157,-0.0294,NA,NA,NA,NA,NA,0.991111111111111,NaN,NaN,27.94742,-82.458778,0.84014,161.37333333333333,1506.9333333333334,163.42666666666668,10.066666666666666,33.89333333333333,2.053333333333334,0,0,-6.1,0.8055555555555556
Toronto,0.28340864600690074,3.9646024121801595e-8,0.2834,NA,0.1235,NA,0.1795,NA,0.3234642370794918,0.3364491342604167,0.19980379375555105,43.6561,-79.3803,0.9444537190082645,125.11239669421488,845.2066115702479,80.22148760330579,-11.918181818181818,24.564462809917355,-44.89090909090909,6.02542372881356,0.9023429710867398,-31.3,14.823529411764707
Washington D.C.,0.17504080629708058,0.02121042169938817,0.175,NA,0.3256,NA,-0.3363,0.4211,0.23591790925124254,0.46426302104500045,0.21244021475824726,38.907192,-77.036873,0.9093800000000001,150.17333333333332,1125.9555555555555,96.27111111111111,-5.542222222222223,30.373333333333335,-53.90222222222222,2.1417917448405253,0.6324108818011257,-27.8,34.888888888888886
